strain,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
6dcd94aa,-5.781516686363669,3.434514354228358,0.7182353701040205,-1.0651225141938736,-1.9404048158974765,-1.452157812946239,3.4883249681259527,-0.6554651930876175,1.4073524138337388,-1.0989081984677587
767405a7,-6.032865180800727,3.1031556681796126,0.7013751962121211,-1.618890376088757,-1.785526341078588,-1.5346208177292657,3.4834407503866567,-1.1496611913861676,0.6680464433198884,-1.3406811512533965
239f6c1,-6.043444936615979,3.123244913791074,0.7136136331787256,-1.6422238914453795,-1.801902378255295,-1.5657895628552967,3.524632834287834,-1.1937533972345007,0.6912323053981146,-1.3843356424322417
6338e772,-6.043562822285601,3.1233534641507896,0.716638692668046,-1.638298845156261,-1.8051968512781364,-1.5643754292872587,3.524510884904733,-1.1944104408343557,0.6917867803971799,-1.3837845083291322
67ae404a,-6.043755978474095,3.121008649377033,0.7129699017638652,-1.6404408143484024,-1.8065595075021363,-1.5638007924926263,3.5275315095021944,-1.1947936137532509,0.6935091330769717,-1.3842303465862944
576c71ea,-6.03283578851942,3.1028311754849685,0.7015608184642081,-1.6167394462672424,-1.7824327074073913,-1.538897349683161,3.4755696143182497,-1.148964500545691,0.6672373024025965,-1.3392555026064326
705591c6,-6.032542947517465,3.1028425212990562,0.7017218169412007,-1.6171628290931908,-1.7826448211130732,-1.5385524952947751,3.4764069000182904,-1.15135513510773,0.6692758397518063,-1.3388836205821286
33858ff,-6.032564424516288,3.1023418797964473,0.7015780588915732,-1.6171117670557698,-1.7831685728132947,-1.5392329268938014,3.4756875380715653,-1.1521827624053198,0.6702453995691025,-1.3388805043748357
7f304ba4,-5.699507324275456,2.70538704170721,0.6635941165724295,-1.6650914467172653,-2.025390962534478,-1.8007851996648225,3.4763253351666137,-0.8487108642137408,0.4020884430735082,-1.4352830083809711
3a23fb3c,-6.031702223495076,3.103493122828724,0.7008606425297358,-1.6151221902173007,-1.7852073266468034,-1.5384232864067853,3.4754671048135335,-1.1542081488535398,0.6673769434546468,-1.3388825171315584
1a611fa0,-6.031127562452253,3.102310216586451,0.704528145197646,-1.624727509431135,-1.775833628558614,-1.5425695476766255,3.4725421561942706,-1.1433061547298626,0.6702384560852048,-1.3428714294348194
452f96ed,-6.032102683965158,3.1034703649875905,0.7006108036562874,-1.6167252748511793,-1.7831788036590415,-1.538400897541455,3.4764200038368696,-1.1504557355655731,0.6712782743714275,-1.338041909354757
5a147ddd,-6.032644683808171,3.104354945695492,0.7003083081731796,-1.616757627505816,-1.783853819226443,-1.537829678753439,3.474932161545015,-1.1522431380062637,0.6658753842344418,-1.3360183926603302
520df321,-6.034517635892724,3.098449340790261,0.6986614156328271,-1.608547550650641,-1.7804036564623469,-1.5363639319533458,3.494200359504835,-1.138061221136902,0.6591968895635857,-1.3272924781297843
7dd02ef8,-6.032542947517465,3.1028425212990562,0.7017218169412007,-1.6171628290931908,-1.7826448211130732,-1.5385524952947751,3.47640690001829,-1.1513551351077296,0.6692758397518066,-1.3388836205821277
6a142f57,-6.0315771987086535,3.1039993202148572,0.7049389153559809,-1.619673025104015,-1.780028587287482,-1.5398915070861177,3.4759960789305606,-1.1444129642911536,0.6701086830612055,-1.3376290159345579
276dbc6,-6.032316255756671,3.103198864500475,0.7009810404439303,-1.61684255420107,-1.7831521243352915,-1.5383398561017865,3.4763459594264483,-1.1518025683895616,0.6685987250931925,-1.3389691345684478
2582353c,-6.0322921174291775,3.1027909794925628,0.7009723889683497,-1.6172868997059917,-1.7837987361995102,-1.5375964341176056,3.4759473806578787,-1.1533078870244513,0.6685475915354718,-1.338897900755186
25a4820,-6.032750728553192,3.103259441052298,0.7019120320815327,-1.61773740600634,-1.7835166125976414,-1.5395392684320235,3.480165935517396,-1.1529653002971723,0.6703356251986096,-1.3416805423084093
1c39dae7,-6.032750728553192,3.103259441052298,0.7019120320815327,-1.61773740600634,-1.7835166125976414,-1.5395392684320235,3.480165935517396,-1.1529653002971723,0.6703356251986096,-1.3416805423084093
50b213a0,-6.03265283657553,3.102960631735604,0.7011632807286431,-1.617057863347957,-1.7822721763813179,-1.5350005758866878,3.476643604077471,-1.1512993334571855,0.6708121487061961,-1.3441995162343265
307d8c35,-6.0332377616917565,3.1043654761803285,0.6999686160093035,-1.6158405870414685,-1.783082864101755,-1.5379308869656145,3.4714516397135298,-1.1479503300774434,0.6622414738529608,-1.3419649661138195
5d4e312f,-6.032729265927758,3.1031955447371136,0.7018130459204757,-1.6171312076650495,-1.7827471024763735,-1.538301855234923,3.4747525100075234,-1.1501382956189665,0.6701675012962423,-1.338511369797123
674f1f8f,-6.032069892625379,3.1026593073383326,0.7003765202748166,-1.6179146185714526,-1.785256900884981,-1.5335537466015694,3.478628669104635,-1.1480662948146783,0.6664066624063454,-1.3396959389626997
3cb57e2,-6.032703588515342,3.102850695164965,0.7010015980930843,-1.6170944505791551,-1.7830774659340696,-1.5424723533785039,3.4771818802309578,-1.1483230766476142,0.6694678478796033,-1.3375887343103918
432081aa,-6.032200824764316,3.1019027280230933,0.7019921623179824,-1.6185870102616717,-1.782257407839262,-1.5394989671858443,3.4755412618829555,-1.152407609883908,0.6712834129971802,-1.3385451179520642
2c4e9e21,-6.032593329640656,3.102141124308416,0.7013836645063467,-1.616742454714783,-1.7811672369493334,-1.5401424142021767,3.4782513956748553,-1.1476901493373048,0.663721441518508,-1.3395910990718094
491f3642,-6.0324096473613205,3.101851523499354,0.6985725896652542,-1.6153426374953854,-1.7830294902003856,-1.5396244396278436,3.4749346966427725,-1.155575289071775,0.6665870007329039,-1.337576499625038
602453b,-6.03275968921414,3.102503371065581,0.7014651478906438,-1.6165865655953584,-1.7822946202179397,-1.5388284582109195,3.47557793000628,-1.1524036321772197,0.6700079517489839,-1.3419041154721854
63568448,-6.032958539595072,3.1036767793699034,0.7021030001364202,-1.6183144305665034,-1.7843893946620106,-1.540528955433385,3.4839477644432493,-1.1545809073847164,0.6714173029411205,-1.3445217912136667
687565a5,-6.033186330515894,3.1048171914454445,0.7033011953630354,-1.6211831152606624,-1.7845298785271742,-1.5418123409540234,3.4907171100223184,-1.1549142105439127,0.6772589046513227,-1.3523100759917097
4bf79a1a,-6.033745998645182,3.1031106569236377,0.7006919685038014,-1.6169361310994659,-1.7857939607273725,-1.541668145649388,3.478560375583982,-1.1511798441555512,0.6691657398441484,-1.3469999348186021
4850bc45,-6.033526372111889,3.1047385759813393,0.7010986301915464,-1.616421055092034,-1.7890612342505479,-1.5430502617116393,3.4859334204973913,-1.1559427981325188,0.6691181672276036,-1.3525444488700713
5ca1ed47,-6.033782619316745,3.105270971728649,0.7027815472507734,-1.6202386075607014,-1.786975685389742,-1.5430503163012035,3.4897290698460073,-1.1564211347131739,0.672502615458088,-1.3473597666822248
409a7cf4,-6.034714878404956,3.106929326656914,0.7036148494664733,-1.6225239791651118,-1.7871471912383718,-1.5469709842555348,3.505333221964497,-1.161896647054197,0.6761054848175873,-1.3658058335970598
45463168,-6.034491762806131,3.1085816271619415,0.7039290560803629,-1.6219563899321705,-1.790546741444857,-1.5482888978444813,3.512727252283435,-1.167198077632205,0.6751653016659515,-1.3716926392960436
17fc6057,-5.869336693593436,3.3498845006455524,0.2289203367524004,-1.4212025232045788,-2.0706449900676436,-1.4373401564879644,3.4764917974702785,-1.2209982268460469,0.6633650230764521,-1.2829614700446716
8715d3d,-5.868720817853205,3.3528443430037482,0.22735629269331253,-1.4230709984247105,-2.072273897113857,-1.4381993650706906,3.482042500088555,-1.218767445943226,0.666798539739968,-1.290041381748487
16aa8dc9,-5.869519385578552,3.3505476820580715,0.22917751985311924,-1.4226809504172204,-2.0729421148964025,-1.4386961706920516,3.4837425167431277,-1.2242914387686215,0.6682883551956695,-1.2876661967576464
60598e71,-6.032257383848015,3.102490304867099,0.7015513617797795,-1.6219799297272093,-1.7883237110412802,-1.5373803999029274,3.48093430975282,-1.1504249388607641,0.6877837690864235,-1.3374539444686988
1b619fd9,-6.198768545266473,3.3858857486226723,0.7924508543801261,-1.8177480277523108,-1.9321095071681456,-1.520109427452182,2.296701083262771,-0.5870663391487336,0.32075652737791,-0.6555973014367349
bc668f9,-6.2005765783607805,3.3882147961574085,0.7948204327389548,-1.8243200749247246,-1.939691896840044,-1.5250959389495597,2.3154070000016005,-0.5897410565816027,0.3225962334083362,-0.6725997311883282
b085b65,-6.1999598541469405,3.3848997723172927,0.7916589727161991,-1.816448850090444,-1.932896270828077,-1.5237158996299864,2.300317747228779,-0.5920479297374016,0.3249531212993868,-0.6631539134332285
581eafcc,-6.199691664156397,3.3879866967303798,0.7910788424583254,-1.8176695659697069,-1.9347560742448855,-1.522400597120593,2.303227839225277,-0.5874511721982387,0.3163341377442419,-0.6617533839609143
17fbf3a9,-6.198145102572656,3.387672965867156,0.7896649075499034,-1.819286293532013,-1.9358705785743973,-1.5205569556118173,2.3008293656897765,-0.5943889958991954,0.31699001816884376,-0.6568350213004789
7c0683c1,-6.199211921128308,3.3778173262444975,0.787675389912306,-1.8167567817095869,-1.941573863968347,-1.5275406749185265,2.294821880534311,-0.6017143888591487,0.3409488416993792,-0.6544874107949314
2a7fc80b,-6.199058007138744,3.3862906368365224,0.7920905380194365,-1.8196462475488995,-1.9322720742599764,-1.5226051480751874,2.2994909223425677,-0.5938239495159279,0.3212579349443511,-0.6639923146092913
30c33d63,-6.199874833347504,3.386238834609253,0.7920332716333188,-1.8166407795987283,-1.932072187550638,-1.522775384146761,2.3036497367884983,-0.5832463104231528,0.3168752264749848,-0.6578866490834197
74d2a0a5,-6.198817832653285,3.387891978653688,0.7904188271175652,-1.8171649279958382,-1.9339195491358807,-1.5199580769919636,2.302689036325063,-0.5916821965696138,0.32029877539211193,-0.6579694342690093
66948d1e,-6.199346732765771,3.386808889073729,0.7927616149270339,-1.8185829268626434,-1.9331968815642182,-1.5213275787181246,2.30226255328612,-0.5895166458541806,0.3220538255024237,-0.6580213106829146
43d19bae,-6.199503259000884,3.386894726741033,0.7928136839765045,-1.8189648758027628,-1.9344486560446037,-1.5232526268736986,2.302905552532697,-0.5862119986033957,0.3193686907894754,-0.6571661514474174
3516ffae,-6.199243299119297,3.386331495264834,0.7926748792581129,-1.8187417982743472,-1.9343053034349744,-1.523083535773318,2.301172864227884,-0.5888364708424271,0.32192816485334635,-0.6586793150640092
3d68802a,-6.198754761592962,3.385704050042627,0.7896361662914857,-1.8193555951760068,-1.9383207473166986,-1.5169648454150304,2.3026489375018784,-0.5979622202747955,0.3207807697764811,-0.6551334188129851
59d44859,-6.199455775741976,3.3866064071556212,0.7916306558389183,-1.8169280866580917,-1.932870531239546,-1.5221222971715263,2.299181863483283,-0.586121360993702,0.33080769657581915,-0.6582729409238335
5709640c,-6.199216084549128,3.385678176816899,0.7931213633821644,-1.8202727499347549,-1.9304726645621948,-1.5227335374915358,2.300968446167419,-0.5920661201609962,0.31703810454451276,-0.6641350114817702
1503bac2,-6.199477811483649,3.386665195125189,0.7926825655842779,-1.8185374358096082,-1.93214416186169,-1.522666275192912,2.3017591244710274,-0.5859488937309982,0.3192743037867976,-0.6576688636440067
5d865d41,-6.199954167367873,3.386123219403035,0.7934411420663082,-1.8147846335961841,-1.9319950324160056,-1.5205313050921234,2.3024669327034486,-0.5881579975715941,0.32541866001497033,-0.6560782558499937
76f3f876,-6.199074549363392,3.385287552083509,0.7934582211600871,-1.8226682765207172,-1.933142295801633,-1.5183661952621903,2.2994877607526383,-0.5884301195547552,0.31990330813797185,-0.6614377700446992
4a29fa1f,-6.1994707037312216,3.3849225816515784,0.7971935077582178,-1.8274418245721293,-1.9400713559893663,-1.511284769170578,2.315174188335494,-0.593649238370234,0.31787224076364795,-0.6654873126476616
325d9ad7,-6.199724205101261,3.3871846061695687,0.7933739269822921,-1.821880192349684,-1.9339485436830253,-1.5219596588424575,2.305411452550749,-0.595570279848295,0.3230622155567974,-0.6648157313019378
1697ce25,-6.039317315153967,3.1144023207683253,0.7054247780646301,-1.635376742216391,-1.8121880819679113,-1.5696519014467343,3.587182784239525,-1.2036763630529033,0.7028588252481242,-1.4136537377292575
6c09884a,-6.050496457036547,3.1340139116488936,0.7168854688501015,-1.658038781713412,-1.8342258638554902,-1.5958260134486353,3.6384346857756107,-1.247496519030017,0.7258646113926793,-1.4584816477050588
6ef3eb61,-6.040370309399176,3.117400131349575,0.7044084297529523,-1.635534106026316,-1.8136789543259313,-1.568730443198874,3.5898640955898986,-1.209175581362637,0.7047750615854412,-1.4275805919198727
341ce204,-6.039150663296083,3.1134105019671043,0.704637957312818,-1.6388644567565513,-1.8182844721268607,-1.5670870191409645,3.5926905914548803,-1.2146982825578887,0.7081379495892521,-1.4181800792988932
91b3f48,-6.040620173495878,3.1148932102505347,0.7015634107924723,-1.6332603350449153,-1.8128130959833086,-1.5696818316795027,3.6019260288427843,-1.2031104379207695,0.6948464471140081,-1.4069306536064692
41288c26,-6.039902300779847,3.1153641345734795,0.7057560659622697,-1.6362600600279829,-1.813302932124539,-1.5709141962848219,3.5945933231473512,-1.2079525108545845,0.7056527781216696,-1.4222041366784288
24a13d04,-6.039733329560425,3.115239154343942,0.7058071122229701,-1.6365384260800397,-1.8139596944329273,-1.5716640493762293,3.594932038807278,-1.207038331377423,0.7050812305607972,-1.419547543182623
1c69ca6e,-6.039622051705449,3.1152082674937387,0.7061041453979405,-1.6388965152541544,-1.8135675913714415,-1.5719389526825605,3.5945186017004094,-1.2087158146262897,0.7064868726168307,-1.4183150395956479
47abb902,-6.039391198099575,3.1154193231865266,0.7043526531490657,-1.637622531165671,-1.8133562863450359,-1.5675849976479437,3.5950617255200177,-1.2100507878145812,0.7019396234174541,-1.4245126236121062
7da7f5b,-6.039927014661212,3.1144369846402635,0.7052731594283845,-1.635490171455209,-1.8117761335734932,-1.5730583540561032,3.597486628623688,-1.2036918859089074,0.6999879327357766,-1.4195469645662224
68e1acde,-6.205958432038809,3.3982790516122283,0.7965339366668722,-1.83710987112524,-1.963393796674138,-1.5531785898811845,2.414970729550968,-0.6425944431947813,0.35644906306976115,-0.7359264341074174
53d2b507,-6.205302935936194,3.4015757038772643,0.7937366242142873,-1.8381739080331247,-1.963854280945317,-1.5535318964750222,2.416717566096213,-0.6459147646209066,0.35738075939919484,-0.7446707155584014
2cdbe213,-6.206428894544217,3.3981910126356647,0.7966782660866563,-1.8383132509094708,-1.9663617598401346,-1.5565317772202882,2.4187521516111876,-0.6460450689802437,0.3595154499159803,-0.738989527974902
74d64587,-6.206364200792786,3.39973398289864,0.796183876186917,-1.8397070384686172,-1.9689576152285972,-1.5571563207152324,2.4244552681128524,-0.6473887991684839,0.36136145971735584,-0.7412435117859549
755ef3f2,-6.206626200116192,3.400677476500264,0.7968111176210017,-1.8415018487137995,-1.9700849742922424,-1.559556179303062,2.4297170488387057,-0.6488846152934419,0.3628292641276004,-0.7440143090427283
392360cd,-6.2063638812923605,3.398739842248845,0.7970308415080126,-1.8390374430745704,-1.9660279444395212,-1.5538332188025898,2.420341622308195,-0.644309939917089,0.3578579825784147,-0.7390199618323303
1111c7ef,-6.201250735956189,3.387578585286662,0.7950200803951835,-1.8263424515045164,-1.9441280216623444,-1.5286684913215736,2.3169400214667615,-0.5942515856863368,0.32674684052232306,-0.6735913669166749
1b7370a0,-6.0945180514783,3.4346623923368305,1.6498127355577104,-1.2541402295231743,-2.223695651805954,-1.432548653215863,2.308573372364853,-0.8831988596311322,-0.038137694333562656,-0.5721632677065053
5a9d4279,-6.200541547905128,3.3892240760406493,0.7945779849271599,-1.825933171852084,-1.9381401242020413,-1.527673027261987,2.322941967540854,-0.5896514577746302,0.3272879479595208,-0.6666322554395303
7f4a6426,-6.040226871677524,3.1138338302737303,0.7047952121571099,-1.6355267805417895,-1.8155664631853736,-1.5783482108116798,3.6017843519020976,-1.2091898639055245,0.714329880860569,-1.4248120836862876
1e0b518b,-6.084819476604629,3.1293616882599125,0.678606060827361,-1.5600788499079947,-1.6040535567111396,-1.405430894937052,3.9401899310278288,-1.7329771740549036,0.9261711493621876,-0.3140107907640259
78d1ddb0,-6.085293916234681,3.1312074689513802,0.6823707643608022,-1.5602107241344956,-1.608037907707582,-1.4081220332629674,3.9493031538884398,-1.7384747080310465,0.9268660391112306,-0.31183982880007755
74e9e08a,-6.076386155271278,3.130630898457219,0.6841228913094884,-1.5843589319193503,-1.5702103573990502,-1.4276589818116536,3.9492799709593167,-1.7252527056756934,0.953019659875521,-0.2909326887328815
6f725d9b,-6.078455591251083,3.1321272380992773,0.6792528618151676,-1.548323294113533,-1.579659592716225,-1.3816695835162083,3.8503501024624787,-1.6902207292755398,0.9001557272520948,-0.2938658238495994
58a64c74,-6.082692000604913,3.1322672837510845,0.6792274263232997,-1.5527552898135064,-1.5897642703036332,-1.3942668240409994,3.9174912461365463,-1.6992557040422778,0.9055324377683419,-0.31306875742511114
6820e2c,-6.085011425430045,3.1278091926925478,0.6766071859585874,-1.5486093610804785,-1.5921181733320324,-1.4022773381913618,3.9434637990064383,-1.6879066229031943,0.8925457537837993,-0.3204164965475815
66ff053d,-6.084216095279431,3.1339423614917026,0.6766338509022909,-1.5539612463352166,-1.5829862110052941,-1.3907179815154433,3.932810271723411,-1.718812568365988,0.9083679775707435,-0.2756314208967295
22774cbb,-6.084726783720463,3.1317656155764775,0.6784306082774946,-1.5634081616508795,-1.6054643102962112,-1.4092943075128437,3.9493888007568105,-1.7379110237637028,0.9257848823591264,-0.31295884631959836
6eb2247a,-6.033287318154939,3.1051997016757684,0.704081953720909,-1.6179360332496424,-1.7825930265945928,-1.5405962718025559,3.4777983976274713,-1.1478146454039218,0.6725599016758675,-1.3455744097085076
564d9a7f,-6.087452144975681,3.14948617465517,0.6942973360866318,-1.503676708670878,-1.4350936007791166,-0.9813616681576164,0.30878965513736445,0.2681402576668743,-0.23182806090814317,0.7221178945551547
