strain,umap_x,umap_y
48150078,20.508898,-9.963196
734b64c5,20.744534,-10.011917
892c3d5,20.436052,-10.379491
748f0c31,21.013386,-10.274517
6a091809,21.00305,-10.444719
22db56e7,20.784182,-10.470867
1cad9790,20.749859,-10.4042845
58ddfb63,20.68968,-9.919372
23c34d97,20.529028,-10.130393
72bb82cd,20.760609,-10.001301
68b43784,21.06864,-10.2531595
2250078e,20.586847,-9.866742
76ac90f7,20.889585,-9.933855
1060be8f,20.655993,-10.017994
1881cb8c,20.928608,-10.239117
400ee8fa,20.60432,-10.135997
3828a6bb,16.582094,-18.56568
2271c37f,32.198902,-6.013893
116a7885,4.8433805,-9.90288
326b5cd5,32.056606,-6.102822
77fd4e7a,14.420955,-17.063944
1326b0c,31.663715,-6.2466598
4746ebad,14.372349,-17.141651
2da6bb39,14.5705595,-16.95454
675a5046,14.558815,-17.148752
d0f2b95,14.484175,-17.116354
4e294580,14.570525,-16.983917
45b10344,14.5806675,-17.116829
b954875,32.280994,-6.2588706
75ecaecd,14.41565,-16.992912
7101353,14.479054,-17.029625
67f06c20,14.517492,-17.089193
778db7e0,14.5215,-17.013975
44c37de0,14.452251,-17.02613
7a712f24,14.538247,-17.071896
6be6cdad,14.499582,-17.040709
6ad7db69,14.594691,-17.132854
75d8972e,14.505343,-17.069313
45707ebd,14.457654,-17.102562
7fb62765,20.913355,-10.005937
67951a95,14.514288,-16.994541
1ec7667c,14.482578,-16.997446
76adf2ae,16.224882,-18.613407
1601d402,14.469297,-17.106548
5a95d02b,14.56969,-16.96835
5e3364b5,14.463308,-16.976254
370340d8,14.573641,-17.072702
1933aae6,14.358512,-17.100136
2a79aa88,14.447227,-17.00176
707900e4,14.434793,-17.072275
597d389,14.389153,-16.949259
32323dff,14.583524,-17.167711
1085c752,14.598468,-17.005447
3a30f51c,16.564646,-18.521627
54a36686,21.040232,-9.893785
46134a80,16.555866,-18.634846
5c509751,16.623838,-18.750858
66321001,20.738972,-10.452197
10619e3,20.483145,-9.982237
33a15250,20.539633,-10.238774
3f7af39b,20.364368,-10.187791
417f13a2,20.505722,-9.927878
4b8462d6,20.91338,-10.196664
44b8e0f7,20.864738,-10.129549
48a5c302,20.80076,-10.13388
48d44df1,20.885876,-9.967823
38e0ec05,20.804571,-10.422548
18037574,20.869091,-10.012579
451f6d50,21.05802,-10.428812
75b0c699,20.554152,-10.323361
230f49e,20.454916,-10.284528
5f70c789,20.843788,-10.085106
5b981cbb,20.823847,-10.245321
2602b0a6,20.769058,-10.157822
4ff6cd48,20.723934,-9.840894
948347b,20.616394,-10.355307
779edc66,20.953312,-9.955587
6d71929a,20.900242,-9.922073
1d755004,20.958149,-10.496194
2391ffb3,20.671125,-10.523791
27f7a702,20.679876,-9.998979
be2b471,20.602453,-10.4534645
23ef4653,20.746536,-10.368455
5f0bdff0,20.868,-10.2633295
1e5b5912,20.717222,-10.312151
78629e29,20.95649,-10.3837595
46558a2,20.622702,-10.569921
1b4dec23,20.948605,-9.96898
515fb5ff,21.019197,-10.176707
60596eda,20.967619,-9.978021
7e520f9a,20.746878,-10.305311
530ad169,21.110836,-10.271533
42870890,20.717995,-10.067782
14f3ad09,20.821894,-10.429936
6c84b57e,21.031097,-10.163572
5d3e673a,20.949139,-10.226876
202a2fe8,20.880884,-10.119796
4bffe44a,20.809042,-10.51741
9276069,20.602581,-10.217082
7bed8561,20.717457,-10.335872
5f7a7ae8,20.911352,-10.109825
53c75a4,20.38888,-10.276529
49dd08a8,20.936863,-10.413426
6be53035,20.579397,-10.235474
6972a3d5,20.983984,-10.360069
50c67595,20.635582,-10.434942
8b13fdd,21.039291,-10.199317
b7231e2,21.115889,-10.332859
17fd5da0,20.94146,-10.453532
7d11c629,20.39334,-10.11516
1ef1fcae,20.77938,-10.519841
33035f67,20.68168,-9.994632
695eb9a0,21.016022,-10.200541
4fdded34,16.394762,-18.523615
70af67cf,20.90427,-10.346129
5f1d5a48,14.597653,-16.800383
539e600b,16.403385,-18.735222
4a66a03b,16.434845,-18.763931
685580a,16.445677,-18.8223
1d685c12,20.223534,-10.045173
15cc6db7,15.749667,-20.485374
511d4f9,20.595184,-10.247045
5f7283e0,16.550371,-18.614683
47dbddee,20.804844,-10.132401
7a742101,16.53024,-18.5381
52be34f3,4.9945755,-10.489714
c26f8f9,4.972228,-10.4394245
58e41c7f,20.505354,-10.401121
78d0302f,4.575166,-10.330341
3a12d996,20.365482,-1.0293345
2b65d183,27.58172,8.937943
abc0eb9,27.634285,8.965172
e02ce7e,20.331852,-10.4429655
552f7f8f,4.8824954,-10.315718
3d2a4205,32.719143,-5.858122
29c902d4,20.549152,-10.25272
a9d64d8,32.539005,-6.3582935
562a762d,20.791037,-10.619859
2e9435ad,16.552391,-18.525812
2490a7c3,32.593307,-6.072885
56ce0917,32.705006,-5.9720755
5c571009,12.813474,-12.5931225
1ebfcc1b,32.42554,-6.420097
3e20e9ba,32.47054,-6.4749894
772c2c8,32.780087,-6.2552056
2349dc78,32.46251,-6.364831
76f43a46,32.3751,-6.1960554
59cf98c1,32.619762,-6.3362064
1717e55a,32.439297,-5.9447665
5e1ba3a5,32.111843,-5.9171615
3d53d3a0,32.370502,-5.848421
5e2e83bc,32.399162,-6.235817
559dcf87,32.4429,-5.7150893
74696703,32.19638,-6.1708436
61451130,32.165344,-6.2798705
637eb7cb,32.64042,-6.1058817
74f7b374,32.35406,-6.1397414
405a7620,32.2205,-6.204483
b5cc862,32.215122,-6.3537574
6d089a41,32.253414,-5.8733273
441290fb,32.37405,-6.110286
29e07635,32.600765,-5.933563
4726f507,32.40999,-5.833206
29af59bd,32.007687,-6.398851
6236cdea,32.400894,-6.3675766
488fd539,32.22474,-6.0236325
307943d3,32.061813,-6.230946
1c5e141c,32.203327,-6.121889
726d4186,32.482067,-5.971739
1bae1d34,4.8845954,-10.189688
2d6cf364,32.146088,-6.3109646
6a5ebe0a,32.313496,-6.3812237
6bff8672,32.745033,-6.035933
2ccc67d3,32.3056,-6.045764
295b5187,32.364693,-5.699059
32c7c7b8,32.182343,-5.918291
2cbc2d69,32.309998,-5.725368
711c0391,32.433323,-6.1708117
2b5c4463,32.328297,-5.7958455
51853362,32.168186,-6.1319313
64bbce6c,32.13672,-5.992366
566e5a1a,32.203964,-6.084324
6bf1716f,32.49243,-6.383295
58eaf2b8,32.4366,-6.408902
520b1b92,32.62867,-5.7422047
46e97f31,32.499428,-5.843362
4bd2c07b,32.173885,-5.8800874
3d9f8bbe,32.20376,-5.827728
2134539f,32.321472,-5.8998737
5a76f19b,32.37937,-5.992227
5c17f1b7,32.29718,-5.792214
4f782942,32.119614,-6.3782325
41625bba,32.615185,-6.1610236
787803a2,32.58382,-5.7254806
12f6b30d,32.59386,-6.105898
6aeceb46,32.48267,-5.7540345
b9fa3b1,32.238075,-5.957141
2bf3f75e,32.43968,-6.162741
4a5d94e1,32.29716,-6.377544
7596117e,31.85876,-6.2148247
1a32f213,32.20617,-6.2499003
72d6f761,32.7967,-5.8959203
16b34dd0,32.183437,-5.7929583
286de1f9,32.09732,-6.0486107
6d701d6e,32.543865,-5.8157363
78bd4d99,12.762661,-12.628038
30704ddf,32.659008,-5.5538836
1cc74df3,12.891506,-12.708761
6298703,32.379105,-5.998265
767b115d,12.272661,-11.265364
45be598c,12.187745,-11.391459
1e959ce,12.10654,-11.351113
34c6b7e8,12.193007,-11.212567
42aed70b,12.143275,-11.266539
43483477,12.231356,-11.316695
5c2bc3ef,12.057407,-11.156068
1acf8c9a,12.109669,-11.309949
1356bebc,4.7836547,-9.828355
386ecbb1,12.213983,-11.303364
53c0496,32.382805,-5.9200516
63452c3,12.139523,-11.343437
69d37c0b,4.678608,-10.069852
4b98db38,32.60283,-5.7579703
2cd655d2,32.264805,-6.3497496
441e483b,32.08111,-5.7640805
8ea7f56,32.641167,-5.7438374
69db61ef,32.40161,-6.195895
1a98980,32.387424,-6.242681
4c4b5a9b,32.520515,-6.300454
2f6ce0f0,32.53879,-5.7797885
39175772,32.232815,-6.0361505
79c2a720,32.54071,-5.736731
eec50c7,32.400032,-6.3046684
6164db8c,32.350033,-6.2868576
dce85ca,32.231506,-5.770029
6c808d15,32.89422,-6.099749
5fda0d24,32.635067,-6.3414474
4156045e,32.272842,-6.206331
9c8acdd,32.283684,-5.7217712
528c4f7d,32.444977,-5.691166
82f6b43,32.148407,-5.8438916
68addef4,5.20378,-10.584017
126e572e,32.504486,-5.5295067
33cd93fb,5.1183805,-10.005732
2930a7d2,32.395218,-5.7404995
6a77cb72,32.586132,-6.098366
1de68478,32.58053,-5.9680247
3178d654,31.951849,-6.156718
43c4fa57,32.423126,-5.799568
24d7c25c,32.206745,-5.9514165
664795a0,32.547775,-5.93318
2b396492,32.326843,-5.81664
47c3ef49,32.161922,-6.252945
5ff034c4,32.61281,-5.854315
4b078f7f,32.488525,-6.1357174
25e7796a,32.494465,-5.700643
5f402d41,32.860085,-6.09861
15aba7f8,32.26869,-5.9284945
2501d3e0,32.177525,-6.1580706
53f5bc9c,32.292606,-5.6716485
1d4acc8f,32.63414,-6.08486
1a22e652,32.31186,-5.607
c5ea787,32.231697,-5.845821
12883a72,32.67507,-5.8091826
36de7f4e,32.580627,-5.7430716
7f393763,32.70056,-5.978869
56418431,32.711636,-5.625267
4663a1ce,32.876038,-6.0081635
74d76b59,32.32293,-5.7469387
72151858,32.554108,-5.738486
26e33c77,32.21192,-6.3061166
5b7e78a6,32.746857,-6.2784204
2dec1d1a,31.990349,-6.252354
674996a8,32.65505,-6.083572
4f1e34c7,31.955362,-6.370441
1ef51715,32.667583,-5.7364135
5de085da,32.73015,-5.9639974
50405ded,32.549236,-5.7427077
53f214f5,32.60246,-5.7512345
4a86f886,32.70467,-5.91841
2d40c3f2,32.31424,-5.898691
1d58eb4a,32.610996,-5.577257
39b2c77c,32.649372,-5.778754
165af5a0,32.613728,-6.076987
397534f2,32.503567,-5.6939173
2df393e8,32.606594,-5.9508967
9094f31,32.701656,-6.167633
12903744,32.726334,-5.816212
208efa5c,32.490482,-5.9133763
5e381280,32.83086,-5.972482
1f3e8554,32.78019,-5.8590217
45784096,32.551266,-5.855079
42837e3c,32.36272,-5.703016
384e5823,32.069794,-6.1486387
5823c20c,32.56188,-5.6765285
13534d28,32.66381,-5.542141
ac8759c,32.871788,-5.7737617
44b942b6,32.357384,-5.9152093
23f08037,32.870728,-6.209226
5c103e33,32.104656,-6.0869017
563b38d5,32.813793,-5.828368
6ddcd081,32.880856,-6.0059075
26bd2910,32.680992,-5.729885
789b592b,32.895023,-5.7954745
5b5400b,32.866127,-5.7025175
60577ff4,32.823734,-5.8258805
86958d2,32.345394,-6.37686
3b5084e7,32.669373,-5.732864
1bdfa047,32.56824,-5.753806
607e217e,32.751186,-5.8226147
218ab276,32.758183,-6.2381835
5017beb3,32.47367,-5.977261
46bfe534,32.512722,-5.750345
223d42ac,32.93564,-5.9356685
4bdb20bc,32.692898,-6.3332586
4aefc38d,32.904324,-5.6672544
355e47fe,32.72604,-6.239096
3aa27250,32.0839,-5.8863792
44b97d9,32.757725,-5.8692455
173eacd7,32.97104,-5.799264
5b19e6a0,33.003353,-5.9748697
15ea6395,32.89026,-5.9372616
4763e607,32.923702,-6.015281
a949459,32.67332,-6.2406883
5c8b1d6e,32.857716,-6.0784264
619dc030,32.86465,-5.892168
28e4d88b,31.940607,-6.2331433
2c696bcb,32.711185,-5.7845993
43bd11b3,32.84435,-6.0055475
65645dbe,32.74998,-5.8200264
2aa81f4a,33.065033,-6.1526794
297158f7,32.46389,-6.133077
2ab597c1,32.98721,-5.8473034
2ba5a3fa,32.994915,-6.0421815
472af711,32.588367,-6.237742
1c47995f,32.95293,-5.766425
402de2ec,32.88572,-6.1490746
327dc330,32.608883,-5.913783
2a483097,32.84225,-5.8571873
421720cd,32.62047,-5.556179
3d01bba3,32.72552,-5.914947
122b15e4,32.907578,-6.1035047
70c8c786,32.38438,-6.0982637
4cd3c6df,33.0086,-5.8511386
51f324ac,32.45388,-5.7740216
f691a06,32.72643,-6.1381507
7d6d367c,32.97814,-6.0909657
6b97a424,32.78431,-6.1940136
18de196,32.67634,-6.281922
16dbfb5b,32.303917,-5.6939836
78d201ff,32.097725,-6.0826154
74be3a4c,31.771969,-6.2672
46aaa135,32.814793,-6.2337465
3a082023,32.895668,-6.174821
2e3b18a5,33.027195,-5.860326
697ab1b5,32.820488,-6.0575027
5a67b74e,32.598186,-6.1753945
22d2911d,32.527344,-5.943373
7813def0,32.67241,-6.4147787
567c83b,32.90009,-6.1060553
4c75f77d,32.7451,-6.288704
51930d46,32.45994,-6.1857424
4ea41859,32.700844,-6.335325
101efe7b,12.850461,-12.709815
5d1d51ab,32.53593,-6.4988484
17f09024,20.554,-1.4550235
4c5da68b,4.582956,-10.314725
76947bdf,4.958711,-10.116501
534f4941,5.0640054,-10.113359
3bf759b5,4.627966,-10.200588
5a0ca790,5.1269712,-10.26761
49d7bbfe,4.7158294,-9.883574
3911f8b9,5.0899153,-10.286124
47934727,4.4398828,-10.136212
7a59f97a,5.001391,-9.796366
c87ab21,4.985603,-9.849682
989ed58,4.6040463,-10.177883
502752ad,5.060285,-9.7797
6b14c2fa,4.73962,-10.3692045
3c023cd6,4.649414,-10.391666
38dd967b,4.6489854,-10.222324
b9f5dc4,5.008883,-9.915777
759c8f70,4.8489623,-10.060549
440faa0c,4.873503,-10.259517
529e5ff7,5.048772,-9.975498
6e5622e6,4.838999,-10.376508
331ffe0a,5.074289,-10.34793
7147be9f,4.677848,-9.817668
62528797,5.1595025,-10.015923
631329ab,5.060021,-10.138312
4f0b1792,4.849405,-10.130106
26ff9e50,4.422325,-9.996955
5264c657,5.06029,-10.095852
62aafd21,5.0518274,-10.20854
422cbbc1,4.6499586,-9.834019
169e015,4.5914297,-10.052029
154f181a,4.897195,-10.025721
271309a8,4.4156203,-10.031859
51694b9a,4.648719,-9.8696785
44ae6a8a,4.6468163,-9.93617
2a707998,4.817904,-10.332764
5906bba3,4.8599844,-10.0011215
182d8750,4.573239,-10.088632
7cd7d51a,4.6022215,-9.844987
261f47f7,5.014424,-10.234879
584970e6,5.030315,-9.924972
74df2664,4.745757,-9.72472
1aedc474,4.4984426,-9.888543
222bddda,4.7091303,-10.267869
7412595c,4.6546245,-10.237355
79d7de83,4.688772,-9.864372
69bd507d,4.8585105,-9.775054
6e080fb8,4.562649,-10.234082
5ecf2706,4.9769726,-10.101744
5d26591,4.9513025,-9.805371
73b4ef70,5.0123386,-10.340734
3ccf7df1,4.646389,-10.291215
4f9bc8cd,4.6486573,-10.128724
5fd3fb0f,4.752509,-9.917924
2a4ced7e,4.695672,-9.700437
5c7c0d2c,4.8105125,-9.733648
15e27553,4.785099,-10.000239
1700fe68,5.244021,-9.900667
1e2feae5,4.5849495,-10.177066
5f6def16,4.4340177,-9.967748
1f0a5846,4.9137125,-10.494431
2336ec9,4.994853,-10.06443
4735a1d5,20.37563,-1.037278
6c22114d,5.0826697,-9.990706
1f44f1c7,4.858744,-9.993865
18cd619d,4.690939,-10.253375
3caa8f3b,4.597186,-10.210384
6efa22db,4.7157984,-10.406977
13e8b6d4,4.545818,-9.911317
571caec1,4.6698933,-10.110685
564bcf05,4.633214,-10.108224
1724200b,5.0099034,-10.183593
1904b4e9,5.103094,-10.171216
2cb05f5a,4.903169,-9.923902
39ce6256,4.970265,-10.126853
7c5caa8e,4.882377,-9.981026
1d3e585d,4.5252757,-10.050508
6dd6ce47,4.4716268,-10.228395
57084b93,32.958786,-6.2359223
3967cd7b,4.6359363,-9.860307
2869b11b,32.507263,-6.2130766
3336a7e2,4.5418925,-9.786308
6d4d9d78,32.696598,-6.423961
40032b63,4.8888626,-9.864056
67233e2b,32.155098,-6.369773
77c6e50b,5.0339227,-10.137599
6aa44040,32.950428,-6.3026943
5137c79e,4.6809998,-9.840706
147c56b2,32.264122,-5.7489486
62ac25a,5.113456,-9.936193
2246c336,32.89201,-6.290313
7958a766,5.050835,-9.766593
3ef48887,32.281933,-5.9694743
5f7704e5,4.6647162,-10.19973
45b0846,32.909378,-6.2946086
4070d002,4.906264,-9.683376
4228bd00,32.990734,-6.210693
6f3d1445,4.5497684,-9.762258
88a2b10,32.14049,-6.237515
620487ec,4.50783,-9.822342
3a3bea25,32.98166,-6.3361387
37035529,4.7485933,-9.812284
4eace1b4,32.962822,-6.148825
71da33cc,12.950251,-12.801227
1c13223b,32.487137,-5.807071
bbf2787,12.856239,-12.717961
48eda3f6,12.835848,-12.7285
2ab0be82,12.801787,-12.613051
17a3cdcd,32.53533,-6.2902555
26d043a7,12.962839,-12.813234
3dd16718,32.77991,-6.3009405
7b3eac39,12.795875,-12.6385
4821ecfa,12.753308,-12.626646
133e4b5e,5.0381193,-10.354426
4804645,11.981525,-11.378442
1fec2ae5,5.0185513,-10.0212555
201c1d25,10.615478,-12.319986
27377206,10.6926985,-12.48122
3693872e,10.6955805,-12.254588
58c80051,10.545271,-12.527746
5d6812be,10.659389,-12.25017
89781ad,10.733244,-12.410612
25c1973e,10.782955,-12.530335
4632907e,10.59391,-12.455912
3fe43593,10.432206,-12.217283
4736a09c,10.562793,-12.431269
5541ea04,10.60867,-12.291401
69374530,10.766601,-12.260446
18cf8bed,10.513213,-12.242298
2f5db995,10.664659,-12.395
542d25e2,10.574997,-12.214942
4a06ff5f,10.718286,-12.190404
ed56942,10.432447,-12.426093
32f34caa,10.549135,-12.440018
61712736,10.473055,-12.357101
239774de,4.825847,-9.7136345
653b7ec9,10.664654,-12.30788
6ca5c3e9,12.699308,-12.757837
6edf9ff8,12.756821,-12.6939335
7ee44e73,31.963064,-5.9286857
704862ea,12.902562,-12.754675
1482f8f2,4.644164,-10.000225
1c3fc1d3,32.54376,-6.4776015
2e84e092,4.492955,-10.1684065
2daa4507,10.574326,-12.379706
51160656,4.915136,-10.265163
6ef3b339,4.805212,-10.114795
6f8f83b2,11.786195,-10.697092
635e9a40,11.671883,-10.788198
e0f2c41,11.696976,-10.79237
51be1bf7,11.685487,-10.881546
26f9f83,4.9897857,-10.335222
38f56fdc,11.81036,-10.879396
27938fc9,11.691992,-10.76482
35414a11,11.71052,-10.887433
59174c06,11.785959,-10.886838
5ac30b30,11.667533,-10.792774
39ac783c,11.744309,-10.805027
5bd26bbb,11.714215,-10.747067
2338aa0,11.702739,-10.811814
22dcdfda,4.5617356,-10.3437
36561cb3,11.735118,-10.828783
7da6cdf6,11.71665,-10.81233
69d950c3,10.583479,-12.399531
2885159a,11.960816,-11.42251
5e5ec55,4.6539855,-10.112083
bcaddf9,4.896623,-10.279309
31b99f55,10.493962,-12.454535
151fe25d,4.96901,-9.964752
3130746f,32.554085,-6.239167
